bookingId,userId,eventId,createdAt,bookingStatus
B1001,U001,E101,2026-09-01T09:00,Confirmed
B1002,U002,E101,2026-09-01T09:05,Confirmed
B1003,U003,E101,2026-09-01T09:10,Confirmed
B1004,U004,E101,2026-09-01T09:15,Waitlisted
B1005,U005,E102,2026-09-01T10:00,Confirmed
B1006,U006,E102,2026-09-01T10:05,Confirmed
B1007,U007,E102,2026-09-01T10:10,Waitlisted
B1008,U008,E102,2026-09-01T10:15,Waitlisted
B1009,U009,E103,2026-09-01T11:00,Confirmed
B1010,U010,E103,2026-09-01T11:05,Confirmed
B1011,U011,E103,2026-09-01T11:10,Confirmed
B1013,U013,E201,2026-09-02T09:00,Confirmed
B1014,U014,E201,2026-09-02T09:05,Confirmed
B1015,U015,E201,2026-09-02T09:10,Confirmed
B1016,U016,E201,2026-09-02T09:15,Waitlisted
B1017,U017,E201,2026-09-02T09:20,Waitlisted
B1020,U020,E202,2026-09-02T10:10,Waitlisted
B1021,U021,E203,2026-09-02T11:00,Confirmed
B1022,U022,E203,2026-09-02T11:05,Confirmed
B1023,U023,E203,2026-09-02T11:10,Confirmed
B1024,U024,E203,2026-09-02T11:15,Confirmed
B1026,U002,E301,2026-09-03T09:00,Confirmed
B1027,U011,E301,2026-09-03T09:05,Confirmed
B1028,U017,E301,2026-09-03T09:10,Waitlisted
B1029,U003,E302,2026-09-03T10:00,Confirmed
B1030,U012,E302,2026-09-03T10:05,Confirmed
B1031,U018,E302,2026-09-03T10:10,Confirmed
B1032,U021,E302,2026-09-03T10:15,Waitlisted
B1033,U022,E302,2026-09-03T10:20,Waitlisted
B1035,U023,E303,2026-09-03T11:05,Waitlisted
